symbol	hgnc_id	chr	diagnostic_category	coding_sequence_variant	frameshift_variant	inframe_deletion	inframe_insertion	initiator_codon_variant	missense_variant	splice_acceptor_variant	splice_donor_variant	stop_gained	stop_lost	stop_retained_variant	synonymous_variant	PTV_enrichment_p	power_median	s_het	observed_full	expected_full	enrich_all_p_full	enrich_mis_p_full	cluster_p_full	denovoWEST_p_full	observed_ud	expected_ud	enrich_all_p_ud	enrich_mis_p_ud	cluster_p_ud	denovoWEST_p_ud	denovoWEST_p_ud_synmod	gnomad_oe_syn	significant
A1BG	5	19	none	0	0	0	0	0	1	0	0	0	0	0	1	0.117644319931224	0.463029466971823	0.006794187	0.2962293	0.274542691345118	0.37152677145877	0.27621595162079	NA	0.37152677145877	0.2952293	0.214698077383935	0.276274419881596	0.192771533678619	NA	0.276274419881596	NA	NA	0
A1CF	24086	10	none	0	0	0	0	0	0	0	0	0	0	0	0	0.175895339419773	0.81920609798545	0.022312834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
A2M	7	12	none	0	1	0	0	0	3	0	0	0	0	0	2	0.071082916820675	0.994595119094239	0.013185631	0.959989798755656	0.612791548220139	0.195726267341533	1	0.013207986792013	0.070358068265713	0.959989798755656	0.479215697184965	0.11599626226783	0.399549663796038	0.013187986812013	0.032911065847629	NA	NA	0
A2ML1	23336	12	discordant	0	0	0	0	0	4	0	0	0	0	0	0	0.339830542983094	0.991583376137525	NA	0.398473365160244	0.553908062515739	1	0.333215681714995	0.300660699339301	0.330683994177791	0.202305371760105	0.433167590391595	1	1	0.616011383988616	0.914462637848305	NA	NA	0
A3GALT2	30005	1	none	0	0	0	0	0	0	0	0	0	0	0	0	0.085106065308779	0.392981905046276	0.000901752	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
A4GALT	18149	22	none	0	0	0	0	0	2	0	0	0	0	0	0	0.067137172581258	0.239111258397777	0.009713007	0.196167993400139	0.187853131843171	0.418715261800027	0.367838355178941	0.420555579444421	0.418715261800027	0.09808399670007	0.146905044310868	1	1	NA	1	NA	NA	0
A4GNT	17968	3	none	0	0	0	0	0	1	0	0	0	0	0	0	0.073203385856703	0.289815839671582	NA	0.09808399670007	0.128589055379672	1	0.448483864377186	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0
AAAS	13666	12	none	0	1	0	0	0	1	0	1	0	0	0	0	0.001021015560044	0.8139654624225	0.004438068	1.34426901778533	0.313132745749547	0.009660515092085	0.295481195456336	NA	0.009660515092085	1.34426901778533	0.244876300108346	0.004530459975911	0.222185907380109	NA	0.004530459975911	NA	NA	0
AACS	21298	12	none	0	1	0	0	0	2	0	0	0	0	0	1	0.015163339750036	0.789303456867499	0.003357221	0.869466756955028	0.370244391888691	0.083812956702022	1	0.994324005675994	0.083812956702022	0.869466756955028	0.289538791621886	0.04827323920556	0.43120102044401	0.994473005526994	0.04827323920556	NA	NA	0
AADAC	17	3	none	0	0	0	0	0	0	0	0	1	0	0	0	0.004278761144612	0.444609990458801	0.004557773	0.4230272	0.139316810739752	0.083711443159858	1	NA	0.083711443159858	0.4230272	0.108948634788045	0.059403668834128	1	NA	0.059403668834128	NA	NA	0
AADACL2	24427	3	none	0	0	0	0	0	0	0	0	0	0	0	0	0.114367407604297	0.437643047488943	0.003716506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
AADACL3	32037	1	none	0	0	0	0	0	0	0	0	0	0	0	0	0.070782672180126	0.269329163798303	0.005543978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
AADACL4	32038	1	none	0	0	0	0	0	1	0	0	0	0	0	1	0.085824117148232	0.39923278410666	0.002407895	0.160966157121914	0.138857425227354	0.323041128157421	0.2522735966772	NA	0.323041128157421	0.160966157121914	0.108589385791808	0.247527351508554	0.186779187242794	NA	0.247527351508554	NA	NA	0
AADAT	17929	4	none	0	0	0	0	0	3	0	0	0	0	0	1	0.110881181780239	0.410450011001995	0.046167548	0.485475598032876	0.168494238473802	0.094737767400514	0.023915292799839	0.605247394752605	0.075780031067743	0.484475598032876	0.131765988281658	0.066263209398372	0.013601777389142	0.603933396066604	0.047659657575073	NA	NA	0
AAED1	16881	9	none	0	1	0	0	0	1	0	0	0	0	0	0	0.001556938635728	0.148875400854514	0.000752916	0.750107860675378	0.121969862615339	0.009551447751267	0.312069310073052	NA	0.009551447751267	0.750107860675378	0.095382961658875	0.005572217037221	0.250895117612849	NA	0.005572217037221	NA	NA	0
AAGAB	25662	15	none	0	0	0	0	0	2	0	0	0	0	0	0	0.099521081033037	0.321978661989387	0.015710662	0.25709771236526	0.149636327290386	0.261253110222743	0.177451477523142	0.707584292415708	0.261253110222743	0.09808399670007	0.117018710709926	1	0.319211858039767	NA	1	NA	NA	0
AAK1	19679	2	none	0	0	0	0	0	1	0	0	0	0	0	1	0.24114401770394	0.927623032316359	0.129038335	0.2222708	0.515691292802479	1	1	NA	1	0.2222708	0.403281284035889	1	1	NA	1	NA	NA	0
AAMDC	30205	11	none	0	0	0	0	0	1	0	0	0	0	0	0	0.036498706179642	0.046066421397694	0.002937019	0.3027108	0.110160477562888	0.136166092191764	0.067155184541475	NA	0.136166092191764	NA	NA	NA	NA	NA	NA	NA	NA	0
AAMP	18	2	none	0	0	0	0	0	1	0	0	0	0	0	0	0.110429362182777	0.406917636810698	0.045235714	0.2031323	0.266413726946555	1	0.443895859935917	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0
AANAT	19	17	none	0	0	0	0	0	1	0	0	0	0	0	0	0.054947943620435	0.146573756444831	0.006479318	0.09808399670007	0.145277153935824	1	1	NA	1	0.09808399670007	0.113609746757463	1	0.415940561291103	NA	1	NA	NA	0
AAR2	15886	20	none	0	0	0	0	0	0	0	0	1	0	0	0	0.00319099395349	0.338182010308206	0.004079859	0.1886151	0.205746970756861	1	1	NA	1	0.1886151	0.16089839737725	0.363606289600375	1	NA	0.363606289600375	NA	NA	0
AARD	33842	8	none	0	0	0	0	0	0	0	0	0	0	0	1	0.04112106351401	0.065784713554711	0.004804911	0.001	0.086525883782275	1	1	NA	1	0.001	0.067665035266402	1	1	NA	1	NA	NA	0
AARS	20	16	none	0	0	0	0	0	2	0	0	0	0	0	0	0.263547232656044	0.961022654518	0.02017962	0.5018113	0.623196951120681	1	0.375582820340295	0.491991508008492	0.496803548468681	0.2224276	0.48735293801336	1	1	NA	1	NA	NA	0
