Class	GTEx_Tissue	Num_Expressed Genes	Num_Unexpressed_Genes	Fisher_P_Controls	Fisher_P_NDD	Fisher_P_Controls_Bonferroni	Fisher_P_NDD_Bonferroni
Control Genes	Adipose - Subcutaneous	15642	39541	0.799833163093526	4.46576720074265e-05	1	0.00241151428840103
Hotspot Genes	Adipose - Subcutaneous	6	13	0.799833163093526	4.46576720074265e-05	1	0.00241151428840103
NDD-Associated Genes	Adipose - Subcutaneous	762	230	0.799833163093526	4.46576720074265e-05	1	0.00241151428840103
Control Genes	Adipose - Visceral (Omentum)	15387	39796	1	6.55239171654361e-06	1	0.000353829152693355
Hotspot Genes	Adipose - Visceral (Omentum)	5	14	1	6.55239171654361e-06	1	0.000353829152693355
NDD-Associated Genes	Adipose - Visceral (Omentum)	760	232	1	6.55239171654361e-06	1	0.000353829152693355
Control Genes	Adrenal Gland	14626	40557	0.435534308056215	3.98390566641279e-07	1	2.15130905986291e-05
Hotspot Genes	Adrenal Gland	3	16	0.435534308056215	3.98390566641279e-07	1	2.15130905986291e-05
NDD-Associated Genes	Adrenal Gland	726	266	0.435534308056215	3.98390566641279e-07	1	2.15130905986291e-05
Control Genes	Artery - Aorta	15702	39481	1	3.8256991967378e-06	1	0.000206587756623841
Hotspot Genes	Artery - Aorta	5	14	1	3.8256991967378e-06	1	0.000206587756623841
NDD-Associated Genes	Artery - Aorta	770	222	1	3.8256991967378e-06	1	0.000206587756623841
Control Genes	Artery - Coronary	15826	39357	0.44989867134395	0.000121657939475776	1	0.00656952873169188
Hotspot Genes	Artery - Coronary	7	12	0.44989867134395	0.000121657939475776	1	0.00656952873169188
NDD-Associated Genes	Artery - Coronary	780	212	0.44989867134395	0.000121657939475776	1	0.00656952873169188
Control Genes	Artery - Tibial	15127	40056	0.439118665571949	0.000192127112070365	1	0.0103748640517997
Hotspot Genes	Artery - Tibial	7	12	0.439118665571949	0.000192127112070365	1	0.0103748640517997
NDD-Associated Genes	Artery - Tibial	770	222	0.439118665571949	0.000192127112070365	1	0.0103748640517997
Control Genes	Bladder	16099	39084	0.614733641804371	8.71492375256902e-08	1	4.70605882638727e-06
Hotspot Genes	Bladder	4	15	0.614733641804371	8.71492375256902e-08	1	4.70605882638727e-06
NDD-Associated Genes	Bladder	793	199	0.614733641804371	8.71492375256902e-08	1	4.70605882638727e-06
Control Genes	Brain - Amygdala	14297	40886	1.73926493926395e-07	1	9.39203067202534e-06	1
Hotspot Genes	Brain - Amygdala	16	3	1.73926493926395e-07	1	9.39203067202534e-06	1
NDD-Associated Genes	Brain - Amygdala	805	187	1.73926493926395e-07	1	9.39203067202534e-06	1
Control Genes	Brain - Anterior cingulate cortex (BA24)	14685	40498	1.6253785701114e-08	0.552790254137248	8.77704427860155e-07	1
Hotspot Genes	Brain - Anterior cingulate cortex (BA24)	17	2	1.6253785701114e-08	0.552790254137248	8.77704427860155e-07	1
NDD-Associated Genes	Brain - Anterior cingulate cortex (BA24)	813	179	1.6253785701114e-08	0.552790254137248	8.77704427860155e-07	1
Control Genes	Brain - Caudate (basal ganglia)	14929	40254	2.12664122632363e-08	0.552635491516184	1.14838626221476e-06	1
Hotspot Genes	Brain - Caudate (basal ganglia)	17	2	2.12664122632363e-08	0.552635491516184	1.14838626221476e-06	1
NDD-Associated Genes	Brain - Caudate (basal ganglia)	812	180	2.12664122632363e-08	0.552635491516184	1.14838626221476e-06	1
Control Genes	Brain - Cerebellar Hemisphere	16696	38487	6.15966773399619e-09	0.146732058164692	3.32622057635794e-07	1
Hotspot Genes	Brain - Cerebellar Hemisphere	18	1	6.15966773399619e-09	0.146732058164692	3.32622057635794e-07	1
NDD-Associated Genes	Brain - Cerebellar Hemisphere	789	203	6.15966773399619e-09	0.146732058164692	3.32622057635794e-07	1
Control Genes	Brain - Cerebellum	17087	38096	9.25359821254335e-09	0.226340827096614	4.99694303477341e-07	1
Hotspot Genes	Brain - Cerebellum	18	1	9.25359821254335e-09	0.226340827096614	4.99694303477341e-07	1
NDD-Associated Genes	Brain - Cerebellum	809	183	9.25359821254335e-09	0.226340827096614	4.99694303477341e-07	1
Control Genes	Brain - Cortex	15409	39774	1.50000148695232e-09	0.341900826293358	8.10000802954254e-08	1
Hotspot Genes	Brain - Cortex	18	1	1.50000148695232e-09	0.341900826293358	8.10000802954254e-08	1
NDD-Associated Genes	Brain - Cortex	828	164	1.50000148695232e-09	0.341900826293358	8.10000802954254e-08	1
Control Genes	Brain - Frontal Cortex (BA9)	15387	39796	1.46269075315068e-09	0.227871622802757	7.89853006701369e-08	1
Hotspot Genes	Brain - Frontal Cortex (BA9)	18	1	1.46269075315068e-09	0.227871622802757	7.89853006701369e-08	1
NDD-Associated Genes	Brain - Frontal Cortex (BA9)	824	168	1.46269075315068e-09	0.227871622802757	7.89853006701369e-08	1
Control Genes	Brain - Hippocampus	14455	40728	2.05141883500194e-07	1	1.10776617090105e-05	1
Hotspot Genes	Brain - Hippocampus	16	3	2.05141883500194e-07	1	1.10776617090105e-05	1
NDD-Associated Genes	Brain - Hippocampus	803	189	2.05141883500194e-07	1	1.10776617090105e-05	1
Control Genes	Brain - Hypothalamus	15357	39826	5.07735713590399e-07	1	2.74177285338815e-05	1
Hotspot Genes	Brain - Hypothalamus	16	3	5.07735713590399e-07	1	2.74177285338815e-05	1
NDD-Associated Genes	Brain - Hypothalamus	828	164	5.07735713590399e-07	1	2.74177285338815e-05	1
Control Genes	Brain - Nucleus accumbens (basal ganglia)	15125	40058	2.63038446619077e-08	0.552790254137248	1.42040761174301e-06	1
Hotspot Genes	Brain - Nucleus accumbens (basal ganglia)	17	2	2.63038446619077e-08	0.552790254137248	1.42040761174301e-06	1
NDD-Associated Genes	Brain - Nucleus accumbens (basal ganglia)	813	179	2.63038446619077e-08	0.552790254137248	1.42040761174301e-06	1
Control Genes	Brain - Putamen (basal ganglia)	14206	40977	1.58010467708644e-07	1	8.53256525626679e-06	1
Hotspot Genes	Brain - Putamen (basal ganglia)	16	3	1.58010467708644e-07	1	8.53256525626679e-06	1
NDD-Associated Genes	Brain - Putamen (basal ganglia)	798	194	1.58010467708644e-07	1	8.53256525626679e-06	1
Control Genes	Brain - Spinal cord (cervical c-1)	15288	39895	0.000261305260537106	0.262912985909559	0.0141104840690037	1
Hotspot Genes	Brain - Spinal cord (cervical c-1)	13	6	0.000261305260537106	0.262912985909559	0.0141104840690037	1
NDD-Associated Genes	Brain - Spinal cord (cervical c-1)	783	209	0.000261305260537106	0.262912985909559	0.0141104840690037	1
Control Genes	Brain - Substantia nigra	14436	40747	2.33096704070908e-06	1	0.00012587222019829	1
Hotspot Genes	Brain - Substantia nigra	15	4	2.33096704070908e-06	1	0.00012587222019829	1
NDD-Associated Genes	Brain - Substantia nigra	790	202	2.33096704070908e-06	1	0.00012587222019829	1
Control Genes	Breast - Mammary Tissue	16243	38940	0.459293230146532	0.000160510519995034	1	0.00866756807973183
Hotspot Genes	Breast - Mammary Tissue	7	12	0.459293230146532	0.000160510519995034	1	0.00866756807973183
NDD-Associated Genes	Breast - Mammary Tissue	774	218	0.459293230146532	0.000160510519995034	1	0.00866756807973183
Control Genes	Cells - Cultured fibroblasts	14007	41176	1	4.08849137753474e-05	1	0.00220778534386876
Hotspot Genes	Cells - Cultured fibroblasts	5	14	1	4.08849137753474e-05	1	0.00220778534386876
NDD-Associated Genes	Cells - Cultured fibroblasts	722	270	1	4.08849137753474e-05	1	0.00220778534386876
Control Genes	Cells - EBV-transformed lymphocytes	13940	41243	0.0599765515597843	5.14792328576184e-07	1	2.77987857431139e-05
Hotspot Genes	Cells - EBV-transformed lymphocytes	1	18	0.0599765515597843	5.14792328576184e-07	1	2.77987857431139e-05
NDD-Associated Genes	Cells - EBV-transformed lymphocytes	611	381	0.0599765515597843	5.14792328576184e-07	1	2.77987857431139e-05
Control Genes	Cervix - Ectocervix	16967	38216	1	1.72020377481461e-05	1	0.000928910038399892
Hotspot Genes	Cervix - Ectocervix	6	13	1	1.72020377481461e-05	1	0.000928910038399892
NDD-Associated Genes	Cervix - Ectocervix	781	211	1	1.72020377481461e-05	1	0.000928910038399892
Control Genes	Cervix - Endocervix	17346	37837	0.625038291161901	5.83370848099231e-05	1	0.00315020257973585
Hotspot Genes	Cervix - Endocervix	7	12	0.625038291161901	5.83370848099231e-05	1	0.00315020257973585
NDD-Associated Genes	Cervix - Endocervix	795	197	0.625038291161901	5.83370848099231e-05	1	0.00315020257973585
Control Genes	Colon - Sigmoid	15657	39526	0.799937186051867	1.72020377481461e-05	1	0.000928910038399892
