transcript	gene	chr	amino_acids	genomic_start	genomic_end	obs_mis	exp_mis	obs_exp	chisq_diff_null	region_name
ENST00000337907.3	RERE	1	1-507	8716356	8424825	97	197,9807001	0,489946747	51,50553454	RERE_1
ENST00000337907.3	RERE	1	508-1567	8424824	8415147	355	438,0452747	0,810418513	15,7438467	RERE_2
ENST00000323848.9	SRRM1	1	1-115	24969818	24975460	4	34,83825406	0,114816316	27,29751932	SRRM1_1
ENST00000323848.9	SRRM1	1	116-905	24975461	24998777	249	310,6835881	0,801458492	12,24675261	SRRM1_2
ENST00000373586.1	EIF3I	1	1-137	32688043	32692014	24	57,40998439	0,41804575	24,95607748	EIF3I_1
ENST00000373586.1	EIF3I	1	138-243	32692015	32694417	29	38,47990064	0,7536402	2,555068887	EIF3I_2
ENST00000373586.1	EIF3I	1	244-326	32694736	32696797	5	31,27942973	0,159849462	34,22363174	EIF3I_3
ENST00000344548.3	CDC42	1	1-121	22404972	22413236	0	36,79439303	0	36,79439303	CDC42_1
ENST00000344548.3	CDC42	1	122-192	22413237	22418010	9	23,46199887	0,38359903	8,914390138	CDC42_2
ENST00000374616.3	HNRNPR	1	1-292	23667501	23645126	41	91,80921734	0,446578254	35,51490281	HNRNPR_1
ENST00000374616.3	HNRNPR	1	293-352	23645125	23640166	0	19,0515437	0	38,10308741	HNRNPR_2
ENST00000374616.3	HNRNPR	1	353-637	23640165	23636947	66	102,4478622	0,644230134	14,85542134	HNRNPR_3
ENST00000375679.4	CLCNKB	1	1-155	16370988	16374506	67	53,39021012	1,254911712	0	CLCNKB_1
ENST00000375679.4	CLCNKB	1	156-289	16374507	16376310	20	62,09558605	0,322084085	38,8734667	CLCNKB_2
ENST00000375679.4	CLCNKB	1	290-688	16376311	16383411	158	152,116739	1,03867596	0	CLCNKB_3
ENST00000378536.4	SKI	1	1-187	2160206	2160766	18	90,47038765	0,198960129	58,05166997	SKI_1
ENST00000378536.4	SKI	1	188-582	2160767	2236003	151	157,7557772	0,957175722	0,289311281	SKI_2
ENST00000378536.4	SKI	1	583-729	2236004	2238204	14	37,25773377	0,375760911	14,51838653	SKI_3
