hgnc	ensembl_versioned	class	pf00520	ddg2p	omim	constraint
CATSPER4	ENSG00000188782.8	Control Genes	TRUE	FALSE	FALSE	TRUE
KCNQ4	ENSG00000117013.14	Control Genes	TRUE	FALSE	TRUE	TRUE
KCNC4	ENSG00000116396.14	Control Genes	TRUE	FALSE	FALSE	TRUE
KCNA10	ENSG00000143105.7	Control Genes	TRUE	FALSE	FALSE	TRUE
KCNA2	ENSG00000177301.14	Hotspot Genes	TRUE	TRUE	TRUE	TRUE
KCNA3	ENSG00000177272.8	Control Genes	TRUE	FALSE	FALSE	TRUE
KCND3	ENSG00000171385.9	Hotspot Genes	TRUE	TRUE	TRUE	TRUE
HCN3	ENSG00000143630.9	Control Genes	TRUE	FALSE	FALSE	TRUE
CACNA1E	ENSG00000198216.10	Hotspot Genes	TRUE	TRUE	TRUE	TRUE
CACNA1S	ENSG00000081248.10	Control Genes	TRUE	FALSE	TRUE	TRUE
KCNH1	ENSG00000143473.12	Hotspot Genes	TRUE	TRUE	TRUE	TRUE
RYR2	ENSG00000198626.15	Hotspot Genes	TRUE	FALSE	TRUE	TRUE
KCNF1	ENSG00000162975.4	Control Genes	TRUE	FALSE	FALSE	TRUE
KCNS3	ENSG00000170745.11	Control Genes	TRUE	FALSE	FALSE	TRUE
KCNG3	ENSG00000171126.7	Control Genes	TRUE	FALSE	FALSE	TRUE
CNGA3	ENSG00000144191.11	Control Genes	TRUE	FALSE	TRUE	TRUE
KCNH7	ENSG00000184611.11	Control Genes	TRUE	FALSE	FALSE	TRUE
SCN3A	ENSG00000153253.16	Hotspot Genes	TRUE	TRUE	TRUE	TRUE
SCN2A	ENSG00000136531.15	Hotspot Genes	TRUE	TRUE	TRUE	TRUE
SCN1A	ENSG00000144285.17	Hotspot Genes	TRUE	TRUE	TRUE	TRUE
SCN9A	ENSG00000169432.14	Control Genes	TRUE	FALSE	TRUE	TRUE
SCN7A	ENSG00000136546.13	Control Genes	TRUE	FALSE	FALSE	TRUE
TRPM8	ENSG00000144481.16	Control Genes	TRUE	FALSE	FALSE	TRUE
ITPR1	ENSG00000150995.18	NDD-Associated Genes	TRUE	TRUE	TRUE	TRUE
KCNH8	ENSG00000183960.8	Control Genes	TRUE	FALSE	FALSE	TRUE
SCN5A	ENSG00000183873.15	Control Genes	TRUE	FALSE	TRUE	TRUE
SCN10A	ENSG00000185313.6	Hotspot Genes	TRUE	FALSE	TRUE	TRUE
SCN11A	ENSG00000168356.11	NDD-Associated Genes	TRUE	TRUE	TRUE	TRUE
CACNA1D	ENSG00000157388.15	Hotspot Genes	TRUE	TRUE	TRUE	TRUE
SLC9C1	ENSG00000172139.14	Control Genes	TRUE	FALSE	FALSE	TRUE
TRPC1	ENSG00000144935.14	Control Genes	TRUE	FALSE	FALSE	TRUE
CNGA1	ENSG00000198515.13	Control Genes	TRUE	FALSE	TRUE	TRUE
TRPC3	ENSG00000138741.10	Control Genes	TRUE	FALSE	TRUE	TRUE
HCN1	ENSG00000164588.6	NDD-Associated Genes	TRUE	TRUE	TRUE	TRUE
CATSPER3	ENSG00000152705.7	Control Genes	TRUE	FALSE	FALSE	TRUE
TRPC7	ENSG00000069018.17	Control Genes	TRUE	FALSE	FALSE	TRUE
ITPR3	ENSG00000096433.10	Control Genes	TRUE	FALSE	TRUE	TRUE
KCNQ5	ENSG00000185760.15	NDD-Associated Genes	TRUE	TRUE	TRUE	TRUE
KCND2	ENSG00000184408.9	Control Genes	TRUE	FALSE	FALSE	TRUE
TRPV5	ENSG00000127412.6	Control Genes	TRUE	FALSE	FALSE	TRUE
KCNH2	ENSG00000055118.14	Control Genes	TRUE	FALSE	TRUE	TRUE
KCNU1	ENSG00000215262.7	Control Genes	TRUE	FALSE	FALSE	TRUE
TRPA1	ENSG00000104321.10	Control Genes	TRUE	FALSE	TRUE	TRUE
KCNB2	ENSG00000182674.5	Control Genes	TRUE	FALSE	FALSE	TRUE
KCNS2	ENSG00000156486.7	Control Genes	TRUE	FALSE	FALSE	TRUE
KCNV1	ENSG00000164794.8	Control Genes	TRUE	FALSE	FALSE	TRUE
KCNQ3	ENSG00000184156.16	Hotspot Genes	TRUE	TRUE	TRUE	TRUE
KCNV2	ENSG00000168263.8	Control Genes	TRUE	FALSE	TRUE	TRUE
TRPM3	ENSG00000083067.22	NDD-Associated Genes	TRUE	TRUE	FALSE	TRUE
TRPM6	ENSG00000119121.21	Control Genes	TRUE	FALSE	TRUE	TRUE
CACNA1B	ENSG00000148408.12	Proposed Novel Hotspot Genes	TRUE	TRUE	TRUE	TRUE
KCNMA1	ENSG00000156113.22	NDD-Associated Genes	TRUE	TRUE	TRUE	TRUE
TRPM5	ENSG00000070985.13	Proposed Novel Hotspot Genes	TRUE	FALSE	FALSE	TRUE
KCNQ1	ENSG00000053918.15	Control Genes	TRUE	TRUE	TRUE	TRUE
CNGA4	ENSG00000132259.12	Control Genes	TRUE	FALSE	FALSE	TRUE
KCNC1	ENSG00000129159.7	NDD-Associated Genes	TRUE	TRUE	TRUE	TRUE
KCNA4	ENSG00000182255.6	Control Genes	TRUE	TRUE	TRUE	TRUE
CATSPER1	ENSG00000175294.5	Control Genes	TRUE	FALSE	TRUE	TRUE
TPCN2	ENSG00000162341.16	Proposed Novel Hotspot Genes	TRUE	FALSE	TRUE	TRUE
TRPC6	ENSG00000137672.12	Control Genes	TRUE	FALSE	TRUE	TRUE
CACNA1C	ENSG00000151067.21	Hotspot Genes	TRUE	TRUE	TRUE	TRUE
KCNA1	ENSG00000111262.5	Hotspot Genes	TRUE	FALSE	TRUE	TRUE
KCNA5	ENSG00000130037.4	Control Genes	TRUE	FALSE	TRUE	TRUE
ITPR2	ENSG00000123104.11	Control Genes	TRUE	FALSE	TRUE	TRUE
KCNH3	ENSG00000135519.6	Control Genes	TRUE	FALSE	FALSE	TRUE
SCN8A	ENSG00000196876.15	Hotspot Genes	TRUE	TRUE	TRUE	TRUE
KCNC2	ENSG00000166006.12	Control Genes	TRUE	FALSE	FALSE	TRUE
TRPV4	ENSG00000111199.10	NDD-Associated Genes	TRUE	TRUE	TRUE	TRUE
HVCN1	ENSG00000122986.13	Control Genes	TRUE	FALSE	FALSE	TRUE
TPCN1	ENSG00000186815.12	Proposed Novel Hotspot Genes	TRUE	FALSE	FALSE	TRUE
TRPC4	ENSG00000133107.14	Control Genes	TRUE	FALSE	FALSE	TRUE
NALCN	ENSG00000102452.15	Hotspot Genes	TRUE	TRUE	TRUE	TRUE
KCNH5	ENSG00000140015.19	Proposed Novel Hotspot Genes	TRUE	TRUE	FALSE	TRUE
TRPM1	ENSG00000134160.13	Control Genes	TRUE	TRUE	TRUE	TRUE
RYR3	ENSG00000198838.13	Control Genes	TRUE	TRUE	FALSE	TRUE
CATSPER2	ENSG00000166762.16	Control Genes	TRUE	FALSE	FALSE	TRUE
TRPM7	ENSG00000092439.13	Control Genes	TRUE	FALSE	TRUE	TRUE
HCN4	ENSG00000138622.3	Control Genes	TRUE	FALSE	TRUE	TRUE
